"fecha","total","agro","combustibles","manufacturas","otros","share_total","share_nocom","share_totalindex","share_nocomindex","t","share_totalfitted","share_nocomfitted"
"1-2006",1668170.74898,324496.39825,757803.21535,513356.513,72514.62238,19.4522292426248,35.6445486314854,100,100,1,86.8028710133791,88.4551579925151
"2-2006",1862024.00417,405990.90344,778812.8178,623413.40015,53806.88278,21.8037416558962,37.4803093384343,112.088652585477,105.150186430829,2,86.7946158317618,88.6769434930429
"3-2006",1929863.50322,424199.392360001,764853.54386,685391.63698,55418.93002,21.980797691247,36.4116537332467,112.998862069143,102.152096551122,3,86.7863606501448,88.8987289935712
"4-2006",1872160.77917,361227.7383,821902.24734,620610.499089999,68420.29444,19.294696391415,34.3941731823484,99.1901552812024,96.492099080664,4,86.7781054685278,89.1205144940995
"5-2006",2211681.28685,431760.214190001,976076.3342,717539.916,86304.82246,19.5218097995005,34.9432246337315,100.357699654923,98.0324508945122,5,86.7698502869108,89.3422999946278
"6-2006",2039364.00337,389372.76737,813011.34943,742126.535859998,94853.35071,19.0928528073738,31.7504729262852,98.15251799283,89.0752559515916,6,86.7615951052938,89.564085495156
"7-2006",2141958.18174,402044.51625,957171.3625,696339.43281,86402.87018,18.7699517048182,33.9339119680533,96.4925483383081,95.20084633104,7,86.7533399236767,89.7858709956843
"8-2006",2129880.51494,426476.38659,841782.51485,789108.435749999,72513.17775,20.0234888106864,33.1090015325078,102.936730597488,92.8865781828473,8,86.7450847420597,90.0076564962126
"9-2006",2104243.29249,426439.91413,778670.31337,833718.011799998,65415.05319,20.2657133636569,32.1702328613471,104.181958329226,90.2528832499525,9,86.7368295604427,90.2294419967408
"10-2006",2271571.96653,467837.38071,881453.75126,861583.329049999,60697.50551,20.5953140645884,33.6545033056151,105.876369272159,94.4169714520877,10,86.7285743788257,90.4512274972691
"11-2006",2146547.49469,457766.3563,745308.52315,874366.334229996,69106.28101,21.3257035976327,32.6686857557853,109.631155029279,91.6512819212093,11,86.7203191972087,90.6730129977974
"12-2006",2134504.34162,442593.12726,872197.65163,758124.793040001,61588.76969,20.7351710947606,35.0622499880363,106.595346148423,98.3663739174556,12,86.7120640155917,90.8947984983256
"1-2007",1843667.96499,397898.18274,766635.21652,618949.24594,60185.31979,21.5818786406129,36.9439261067263,110.948099425651,103.645375029642,13,86.7038088339747,91.1165839988539
"2-2007",1914769.60682,498872.29445,656572.809310001,687111.006429998,72213.49663,26.053907095304,39.6497825648007,133.937898686765,111.236596021242,14,86.6955536523577,91.3383694993821
"3-2007",2384656.61748,512002.02936,1008456.26963,810303.19453,53895.12396,21.4706815902518,37.2040328401229,110.376457744,104.375098769689,15,86.6872984707407,91.5601549999104
